experiment: absbar
  instrument        absbar   trial seed 0000000001352d7c   1214 trials
                    another probe is another trial sequence: its numbers
                    are not comparable with these (~0.05 at 300 trials)
  question          `travelsweep` found the shipped bar is BIT-IDENTICALLY
                    blind to target distance past ~0.6 log units: it is an
                    EMA of the creature's own error, and a further target
                    only adds a constant, which cancels. Can any bar ask?
  derived first     drift is E[R*u] with E[u]=0, so with e = C + h(u):
                    linear R=-k*e is PROVABLY invariant (C multiplies E[u]);
                    quadratic R~-e^2 has a term scaling with C and is the
                    only candidate; a hard bar makes R constant past it.
                    Three of four rules are settled by algebra, not by runs.
  the design        0.89 (the shipped vowel pair's own F1 separation) and
                    1.20, between which the shipped rule is provably blind.
                    Taught at both tests INVARIANCE; a matched marginal at
                    0.89 per rule tests whether it can still learn at all.
  the confound      magnitude CANNOT be matched without destroying the
                    effect -- the distance sensitivity IS a magnitude effect.
                    Mean |reward| and praise fraction are printed per arm so
                    a learning-rate difference is read rather than assumed.
  the refusal       if `shipped` is NOT invariant here, `travelsweep` was
                    wrong and nothing else is read. A rule that breaks the
                    invariance but cannot beat its own control has bought
                    visibility with the learning signal. 36 seeds.

  [4/324] seed 0 absquad-0.89  delivered +0.2579  praise 0.076  err 0.3466
  [2/324] seed 0 shipped-1.20  delivered +0.3294  praise 0.557  err 0.4616
  [6/324] seed 0 absquad-rnd   delivered -0.0428  praise 0.001  err 0.4734
  [5/324] seed 0 absquad-1.20  delivered -0.1474  praise 0.000  err 0.7074
  [7/324] seed 0 abshard-0.89  delivered +0.0337  praise 0.001  err 0.4558
  [3/324] seed 0 shipped-rnd   delivered -0.0405  praise 0.524  err 0.4741
  [1/324] seed 0 shipped-0.89  delivered +0.3294  praise 0.557  err 0.3066
  [8/324] seed 0 abshard-1.20  delivered -0.0723  praise 0.000  err 0.6651
  [9/324] seed 0 abshard-rnd   delivered -0.0728  praise 0.000  err 0.4893
  [12/324] seed 1 shipped-rnd   delivered -0.0306  praise 0.544  err 0.4814
  [13/324] seed 1 absquad-0.89  delivered +0.1278  praise 0.007  err 0.4105
  [11/324] seed 1 shipped-1.20  delivered +0.2870  praise 0.569  err 0.4826
  [14/324] seed 1 absquad-1.20  delivered -0.0450  praise 0.000  err 0.6591
  [10/324] seed 1 shipped-0.89  delivered +0.2870  praise 0.569  err 0.3276
  [16/324] seed 1 abshard-0.89  delivered -0.0362  praise 0.000  err 0.5003
  [15/324] seed 1 absquad-rnd   delivered +0.1180  praise 0.013  err 0.4771
  [17/324] seed 1 abshard-1.20  delivered -0.0362  praise 0.000  err 0.6553
  [18/324] seed 1 abshard-rnd   delivered +0.0548  praise 0.006  err 0.4851
  [21/324] seed 2 shipped-rnd   delivered -0.0583  praise 0.502  err 0.4802
  [19/324] seed 2 shipped-0.89  delivered +0.2689  praise 0.553  err 0.3412
  [20/324] seed 2 shipped-1.20  delivered +0.2689  praise 0.553  err 0.4962
  [24/324] seed 2 absquad-rnd   delivered +0.0538  praise 0.003  err 0.4806
